Site,Tree,PDI,DAI,PDI_unscaled,DAI_unscaled,AOD proximity
LWBKR,C1,0.505338635,0.045026774,-0.084204431,-0.321136184,Far
LWBKR,C2,0.805165487,0.250227734,0.13588942,-0.165705304,Far
LWBKR,C3,0.688391244,0.242425762,0.05016897,-0.171614962,Far
LWBKR,C4,0.660722604,0.192309433,0.029858255,-0.20957592,Far
LWBKR,C5,0.620419088,0.303169768,2.73E-04,-0.125603996,Far
MALDW,C1,0.756061577,-0.88343207,0.09984372,-1.024403728,Near
MALDW,C2,0.441253261,0.104474563,-0.131247571,-0.276107047,Near
MALDW,C3,0.475331694,-0.076928766,-0.106231621,-0.413512247,Near
MALDW,C4,0.551544911,-0.088744663,-0.050285797,-0.42246228,Near
MALDW,C5,NA,NA,NA,NA,NA
MTRD,C1,0.614589859,0.162031242,-0.004006402,-0.232510344,Far
MTRD,C2,0.708093455,0.292719169,0.064631768,-0.133519874,Far
MTRD,C3,0.489136954,0.123297427,-0.096097596,-0.261849539,Far
MTRD,C4,0.792389427,0.204346428,0.126510899,-0.200458415,Far
MTRD,C5,0.748684875,0.221486698,0.094428705,-0.187475399,Far
MCOU,C1,0.660658556,0.160161128,0.02981124,-0.233926875,Near
MCOU,C2,0.710063259,0.308280074,0.066077742,-0.121733159,Near
MCOU,C3,0.768875472,0.289171323,0.109250014,-0.136207214,Near
MCOU,C4,0.742448208,0.101552337,0.089850557,-0.278320507,Near
MCOU,C5,0.790119929,0.017852601,0.124844929,-0.341719448,Near
MOCCA,A10,0.949422754,0.559302061,0.241784329,0.068405173,AOD
MOCCA,A11,0.837550412,0.328595812,0.159662216,-0.106344864,AOD
MOCCA,A12,0.733105127,0.218890957,0.082992083,-0.189441561,AOD
MOCCA,A13,0.918074658,0.325145738,0.218772637,-0.108958146,AOD
MOCCA,A14,0.624703344,0.522602343,0.003417603,0.040606719,AOD
MOCCA,A15,0.805674902,0.427849852,0.136263366,-0.031164208,AOD
MOCCA,A16,0.871450457,0.313687766,0.184547217,-0.117637066,AOD
MOCCA,A17,0.892321797,0.85115908,0.199868238,0.289474282,AOD
MOCCA,A18,0.854477444,0.212437086,0.17208784,-0.19433009,AOD
MOCCA,A19,0.81192421,0.215357051,0.140850795,-0.192118343,AOD
MOCCA,A20,0.963213037,-0.143788716,0.25190736,-0.464155777,AOD
MOCCA,A6,0.57983059,0.352474418,-0.029522133,-0.088257849,AOD
MOCCA,A7,0.750997061,0.481123986,0.096126012,0.009188652,AOD
MOCCA,A8,0.831298998,0.32078292,0.155073242,-0.112262793,AOD
MOCCA,A9,0.812744599,-0.087208391,0.141453017,-0.42129862,AOD
