Plate,Well,F,R,SampleOrigin,SampleID,Site,Tissue,D2E_replicate,Tree,Date
7,G8,F23,R8,D2E,129,BBW,ROOT,1,C3,19/10/2022
7,H8,F24,R8,D2E,130,BBW,LEAF,1,C3,19/10/2022
7,A9,F17,R9,D2E,147,CDPM,ROOT,3,C3,19/10/2022
7,B9,F18,R9,D2E,148,CDPM,LEAF,1,C3,19/10/2022
7,C9,F19,R9,D2E,149,SAW,ROOT,1,C3,19/10/2022
7,D9,F20,R9,D2E,155,CROC,ROOT,1,C3,19/10/2022
7,E9,F21,R9,D2E,156,CROC,LEAF,1,C3,19/10/2022
7,F9,F22,R9,D2E,161,CDS,ROOT,3,C3,19/10/2022
7,G9,F23,R9,D2E,163,STRTS,ROOT,2,C3,19/10/2022
7,H9,F24,R9,D2E,171,WLDCP,ROOT,2,C3,19/10/2022
7,A10,F17,R10,D2E,172,WLDCP,LEAF,2,C3,19/10/2022
7,B10,F18,R10,D2E,175,MOCCA,ROOT,1,C3,19/10/2022
7,C10,F19,R10,D2E,183,LWBKR,ROOT,3,C4,19/10/2022
7,D10,F20,R10,D2E,184,LWBKR,LEAF,3,C4,19/10/2022
7,E10,F21,R10,D2E,188,GMKW,LEAF,3,C4,19/10/2022
7,F10,F22,R10,D2E,189,BBW,ROOT,1,C4,19/10/2022
7,G10,F23,R10,D2E,201,MCOU,ROOT,1,C4,19/10/2022
7,H10,F24,R10,D2E,203,CDPM,ROOT,3,C4,19/10/2022
7,A11,F17,R11,D2E,209,LANGDL,ROOT,3,C4,19/10/2022
7,B11,F18,R11,D2E,210,LANGDL,LEAF,3,C4,19/10/2022
7,C11,F19,R11,D2E,222,LINEAG,LEAF,3,C4,19/10/2022
7,D11,F20,R11,D2E,231,SNDR,ROOT,1,C4,19/10/2022
7,E11,F21,R11,D2E,232,SNDR,LEAF,1,C4,19/10/2022
7,F11,F22,R11,D2E,244,LWBKR,LEAF,1,C5,19/10/2022
7,G11,F23,R11,D2E,246,MTRD,LEAF,1,C5,19/10/2022
7,H11,F24,R11,D2E,249,BBW,ROOT,1,C5,19/10/2022
7,A12,F17,R12,D2E,251,WINDW,ROOT,3,C5,19/10/2022
7,B12,F18,R12,D2E,284,TAWWD,LEAF,1,C5,19/10/2022
7,C12,F19,R12,D2E,292,HLKH,LEAF,2,C5,19/10/2022
7,D12,F20,R12,D2E,295,HTCH,ROOT,3,C5,19/10/2022
7,E12,F21,R12,D2E,142,STHWK,LEAF,1,C3,19/10/2022
7,F12,F22,R12,D2E,82,LWBKR,LEAF,3,C2,19/10/2022
7,G12,F23,R12,D2E,DNA_Neg_9,DNA_Neg_10,DNA_Neg_11,DNA_Neg_12,DNA_Neg_13,19/10/2022
7,H12,F24,R12,D2E,CP_30_tree_16S,DYMK,ALL,NA,C5,
8,A1,F1,R13,D2E,2,SAW,LEAF,1,C1,18/10/2022
8,B1,F2,R13,D2E,8,MCOU,LEAF,2,C1,18/10/2022
8,C1,F3,R13,D2E,25,GMKW,ROOT,2,C1,18/10/2022
8,D1,F4,R13,D2E,28,WINDW,LEAF,3,C1,18/10/2022
8,E1,F5,R13,D2E,29,ATTP,ROOT,2,C1,18/10/2022
8,F1,F6,R13,D2E,35,BBW,ROOT,1,C1,18/10/2022
8,G1,F7,R13,D2E,39,DYMK,ROOT,1,C1,18/10/2022
8,H1,F8,R13,D2E,44,STRTS,LEAF,2,C1,18/10/2022
8,A2,F1,R14,D2E,47,SNDR,ROOT,1,C1,18/10/2022
8,B2,F2,R14,D2E,54,WLDCP,LEAF,1,C1,18/10/2022
8,C2,F3,R14,D2E,74,WINDW,LEAF,2,C2,18/10/2022
8,D2,F4,R14,D2E,79,RWDN,ROOT,2,C2,18/10/2022
8,E2,F5,R14,D2E,87,CDPM,ROOT,3,C2,18/10/2022
8,F2,F6,R14,D2E,108,SNDR,LEAF,3,C2,18/10/2022
8,G2,F7,R14,D2E,110,HTCH,LEAF,1,C2,18/10/2022
8,H2,F8,R14,D2E,111,WLDCP,ROOT,2,C2,18/10/2022
8,A3,F1,R15,D2E,125,MTRD,ROOT,1,C3,18/10/2022
8,B3,F2,R15,D2E,127,GMKW,ROOT,1,C3,18/10/2022
8,C3,F3,R15,D2E,140,ANCST,LEAF,1,C3,18/10/2022
8,D3,F4,R15,D2E,144,MCOU,LEAF,1,C3,18/10/2022
8,E3,F5,R15,D2E,151,RCHMD,ROOT,1,C3,18/10/2022
8,F3,F6,R15,D2E,162,CDS,LEAF,2,C3,18/10/2022
8,G3,F7,R15,D2E,167,SNDR,ROOT,1,C3,18/10/2022
8,H3,F8,R15,D2E,177,MALDW,ROOT,1,C3,18/10/2022
8,A4,F1,R16,D2E,179,TAWWD,ROOT,2,C3,18/10/2022
8,B4,F2,R16,D2E,182,RWDN,LEAF,1,C4,18/10/2022
8,C4,F3,R16,D2E,185,MTRD,ROOT,2,C4,18/10/2022
8,D4,F4,R16,D2E,195,ATTP,ROOT,3,C4,18/10/2022
8,E4,F5,R16,D2E,212,ASHC,LEAF,3,C4,18/10/2022
8,F4,F6,R16,D2E,214,DYMK,LEAF,1,C4,18/10/2022
8,G4,F7,R16,D2E,218,WLDCP,LEAF,3,C4,18/10/2022
